company_name,industry_sector,company_age_years,employee_count,promoter_reputation_score,promoter_experience_years,management_stability,litigation_cases_count,fraud_flag,recent_news_sentiment,gst_turnover_crore,revenue_growth_percent,profit_margin_percent,cashflow_status,loan_repayment_history_score,total_assets_crore,total_liabilities_crore,net_worth_crore,debt_to_equity_ratio,collateral_type,collateral_value_crore,sector_risk_level,market_demand_trend,cibil_score,gstr2a_vs_3b_mismatch
Company_1,Steel,21,904,4,5,stable,2,0,positive,4.51,15,4,stable,8,30.78,17.31,13.47,1.58,commercial_property,22.52,low,declining,586,1
Company_2,Manufacturing,16,736,6,9,stable,1,1,neutral,9.46,17,18,stable,4,33.33,2.16,31.17,1.07,machinery,20.53,medium,declining,687,0
Company_3,IT Services,14,433,9,7,stable,3,0,negative,14.64,20,2,stable,10,18.25,8.96,9.29,0.87,industrial_land,21.08,low,growing,766,0
Company_4,Manufacturing,5,390,8,28,stable,2,0,positive,6.5,3,15,fluctuating,7,12.33,4.1,8.23,0.82,commercial_property,23.54,high,declining,742,0
Company_5,IT Services,25,684,5,25,moderate,0,0,neutral,12.59,16,11,weak,7,33.18,11.85,21.33,0.53,industrial_land,3.52,low,declining,795,1
Company_6,IT Services,18,226,10,6,stable,4,1,positive,13.62,12,9,weak,5,18.98,4.89,14.09,2.02,machinery,24.94,high,growing,771,0
Company_7,Construction,23,736,4,14,moderate,2,0,positive,10.68,7,15,fluctuating,4,9.01,6.61,2.4,2.39,commercial_property,19.27,medium,declining,715,0
Company_8,IT Services,3,703,7,5,stable,2,0,neutral,3.56,11,4,fluctuating,5,31.69,14.6,17.09,0.33,commercial_property,19.91,low,growing,802,1
Company_9,Construction,22,906,5,22,unstable,4,0,negative,3.23,10,3,stable,9,21.63,10.41,11.22,0.92,commercial_property,8.1,high,stable,774,0
Company_10,Steel,5,160,5,7,stable,1,0,neutral,2.36,11,15,stable,8,5.74,3.44,2.3,0.75,commercial_property,15.53,medium,growing,610,1
Company_11,Automobile,4,241,4,17,unstable,3,1,neutral,4.07,-1,16,stable,5,8.39,4.03,4.36,0.64,commercial_property,11.74,medium,growing,642,0
Company_12,IT Services,3,231,10,12,stable,1,0,neutral,7.48,0,9,fluctuating,7,35.15,16.37,18.78,0.69,machinery,3.16,low,growing,698,0
Company_13,Manufacturing,18,357,5,14,stable,3,0,positive,7.21,-5,13,weak,9,38.51,30.68,7.83,1.45,commercial_property,14.78,medium,growing,647,0
Company_14,Steel,24,521,7,8,unstable,4,0,positive,2.27,13,16,weak,8,22.77,15.81,6.96,0.29,industrial_land,3.58,medium,declining,708,1
Company_15,Manufacturing,12,976,6,29,stable,2,0,positive,10.54,13,17,fluctuating,8,16.0,4.87,11.13,2.5,industrial_land,5.01,low,declining,660,0
Company_16,Manufacturing,12,1123,4,26,unstable,2,0,neutral,13.37,11,9,weak,4,17.93,3.95,13.98,2.36,industrial_land,21.18,medium,growing,613,0
Company_17,Pharma,19,1040,6,6,stable,2,0,negative,9.67,18,18,fluctuating,10,30.12,6.5,23.62,0.84,industrial_land,16.59,medium,growing,619,1
Company_18,Textiles,20,113,10,16,unstable,3,1,negative,9.07,3,6,stable,7,8.92,6.85,2.07,0.49,machinery,17.89,medium,growing,769,0
Company_19,Textiles,10,372,10,30,stable,0,0,neutral,12.03,1,8,stable,5,35.94,12.87,23.07,1.89,machinery,16.28,medium,declining,750,1
Company_20,Automobile,14,665,10,30,stable,1,0,positive,6.66,20,8,stable,9,6.36,3.45,2.91,0.64,machinery,6.59,medium,growing,648,0
Company_21,Pharma,4,262,8,18,moderate,4,0,negative,14.18,6,17,fluctuating,7,9.04,7.08,1.96,1.59,commercial_property,6.11,low,stable,682,1
Company_22,Manufacturing,24,443,6,18,stable,3,0,negative,8.52,1,9,fluctuating,8,33.23,18.89,14.34,0.92,industrial_land,23.63,high,stable,591,1
Company_23,Manufacturing,8,656,7,22,stable,3,0,neutral,8.98,4,14,fluctuating,5,11.71,6.9,4.81,1.19,commercial_property,10.72,high,declining,663,0
Company_24,Pharma,19,726,4,29,stable,1,1,negative,12.22,9,15,fluctuating,5,38.59,23.25,15.34,2.06,industrial_land,17.15,low,growing,693,0
